bin,mean_predicted_probability,observed_non_pass_rate,n_observations
1,0.1572382017433029,0.008661417322834646,1270
2,0.22320919759636296,0.02127659574468085,1269
3,0.2706761589511113,0.0252167060677699,1269
4,0.3245109139058686,0.056382145653876274,1277
5,0.3663840634182588,0.0380650277557494,1261
6,0.42281315548310655,0.05279747832939322,1269
7,0.4926098625829791,0.08983451536643026,1269
8,0.562870375678264,0.1095350669818755,1269
9,0.6543910779754096,0.13947990543735225,1269
10,0.776010049990587,0.21023622047244095,1270
