feature,importance
prior_730d_total_infractions,19.99093600741309
days_since_previous_inspection,14.872591732059698
prev_non_pass,13.150454929271454
prior_365d_total_infractions,7.521397231208503
n_inspections_seen_so_far,7.258072350247025
prev_total_infractions,4.574831033756512
prior_730d_crucial_infractions,4.009115726952876
prior_365d_n_inspections,3.1667344967612667
prior_730d_n_inspections,2.7059524621135127
prior_730d_n_non_pass,2.620099696986265
prev_minor,2.4857975841749367
prior_365d_cat_5c_maintenance_rooms,2.090598057064341
prev_significant,1.8468088433755594
prior_730d_cat_5c_maintenance_rooms,1.5394908594724677
prior_730d_cat_3a_handwashing_sink,1.2746054275201204
prior_730d_cat_8a_pest_control,1.186662546607503
prior_365d_cat_4d_mechanical_washer,0.9998782153457488
prior_365d_cat_a_admin_requirements,0.9655708006347936
prior_365d_cat_3a_handwashing_sink,0.8708461013152902
prior_365d_cat_8a_pest_control,0.6275380483869666
prev_crucial,0.6225944406933497
prior_730d_cat_a_admin_requirements,0.6174539340358246
prior_365d_cat_2c_utensil_procedures,0.600098676173713
prior_730d_cat_4d_mechanical_washer,0.5759919360929157
prior_730d_cat_2c_utensil_procedures,0.5014162783067806
prior_365d_cat_6b_sanitary_supplies,0.4459421054415841
prior_365d_n_non_pass,0.4243989952330497
prior_365d_crucial_infractions,0.40651097344032255
prior_730d_cat_4c_sink_supplies,0.368827193787696
prior_730d_cat_2b_food_contamination,0.3497964612423854
prior_365d_cat_4c_sink_supplies,0.34652274993326365
prior_730d_cat_5b_thermometers,0.3024481706304761
prior_730d_cat_6b_sanitary_supplies,0.2613111338615299
prior_365d_cat_2b_food_contamination,0.24018889983008126
prior_365d_cat_5b_thermometers,0.17851590062910536
prior_730d_cat_05_non_food_surfaces,0.0
prior_730d_cat_04_food_contact_surfaces,0.0
prior_365d_cat_02_food_contamination,0.0
prior_365d_cat_administrative_requirements,0.0
prior_365d_cat_04_food_contact_surfaces,0.0
prior_730d_cat_03_employee_hygiene,0.0
prior_365d_cat_03_employee_hygiene,0.0
prior_730d_cat_administrative_requirements,0.0
prior_365d_cat_05_non_food_surfaces,0.0
prior_730d_cat_02_food_contamination,0.0
