feature,importance
prior_730d_total_infractions,18.961273121115
days_since_previous_inspection,16.345426466674592
prev_non_pass,13.036351115519778
prior_365d_total_infractions,9.415748736917063
n_inspections_seen_so_far,7.528148240240194
prev_total_infractions,3.6733985812038585
prior_730d_n_inspections,3.4798061862075382
prior_365d_n_inspections,3.401064853574312
prior_730d_crucial_infractions,3.31031412633417
prev_minor,3.096403240212147
prior_730d_maintenance_of_rooms,2.8555494972699678
prior_730d_n_non_pass,2.718477588251562
prev_significant,2.6883245256023804
prev_crucial,1.7477081679793274
prior_730d_handwashing_sink,1.6555115786892247
prior_365d_maintenance_of_rooms,1.206269921360906
prior_730d_admin_requirements_a,1.1675229995473286
prior_365d_n_non_pass,0.8260388456672053
prior_365d_crucial_infractions,0.8135127760676489
prior_730d_utensil_equipment_procedures,0.7575382198237539
prior_365d_utensil_equipment_procedures,0.5867653738202083
prior_365d_handwashing_sink,0.3653105418623614
prior_365d_admin_requirements_a,0.3635352960594692
prior_730d_non_food_surface_sanitation,0.0
prior_365d_non_food_surface_sanitation,0.0
prior_365d_administrative_requirements,0.0
prior_730d_administrative_requirements,0.0
prior_365d_employee_hygiene_handwashing,0.0
prior_730d_employee_hygiene_handwashing,0.0
