estId,inspectionDate,n_raw_rows,n_distinct_infractions,max_repeat_of_single_infraction,addr_variants_within_inspection,ratio
001Vo000013PoTqIAK,2025-06-13,2,1,2,2,2.0
001Vo000013PoTqIAK,2026-05-07,2,1,2,2,2.0
001Vo000013QE4dIAG,2024-08-06,6,3,2,2,2.0
001Vo000013QE4dIAG,2024-08-20,2,1,2,2,2.0
001Vo000013QE4dIAG,2025-07-31,8,4,2,2,2.0
001Vo000013QE4dIAG,2026-03-06,4,2,2,2,2.0
001Vo000013QSCWIA4,2024-02-15,2,1,2,2,2.0
001Vo000013QSCWIA4,2024-07-29,4,2,2,2,2.0
001Vo000013QSCWIA4,2024-12-09,4,2,2,2,2.0
001Vo000013QSCWIA4,2025-04-02,6,3,2,2,2.0
001Vo000013QSCWIA4,2025-08-14,4,2,2,2,2.0
001Vo000013QSCWIA4,2025-12-08,2,1,2,2,2.0
001Vo000013QSCWIA4,2026-03-18,4,2,2,2,2.0
001Vo000013QUJHIA4,2024-06-10,2,1,2,2,2.0
001Vo000013QUJHIA4,2025-03-10,2,1,2,2,2.0
001Vo000013QUJHIA4,2026-04-13,2,1,2,2,2.0
001Vo000013QcrwIAC,2023-12-13,2,1,2,2,2.0
001Vo000013QcrwIAC,2024-11-13,2,1,2,2,2.0
001Vo000013QcrwIAC,2025-06-05,4,2,2,2,2.0
001Vo000013QcrwIAC,2026-02-04,6,3,2,2,2.0
001Vo000013Qe1FIAS,2024-08-07,2,1,2,2,2.0
001Vo000013Qe1FIAS,2025-04-01,2,1,2,2,2.0
001Vo000013Qe1FIAS,2025-11-21,2,1,2,2,2.0
001Vo000013Qe1FIAS,2026-04-14,2,1,2,2,2.0
001Vo000013Qh0WIAS,2024-07-04,6,3,2,2,2.0
001Vo000013Qh0WIAS,2024-11-22,2,1,2,2,2.0
001Vo000013Qh0WIAS,2025-04-11,8,4,2,2,2.0
001Vo000013Qh0WIAS,2025-08-20,10,5,2,2,2.0
001Vo000013Qh0WIAS,2025-11-07,2,1,2,2,2.0
001Vo000013Qh0WIAS,2026-04-03,4,2,2,2,2.0
001Vo000013QhE4IAK,2024-11-21,10,5,2,2,2.0
001Vo000013QhE4IAK,2025-07-22,4,2,2,2,2.0
001Vo000013QhE4IAK,2026-06-08,4,2,2,2,2.0
001Vo000013QhezIAC,2024-04-30,2,1,2,2,2.0
001Vo000013QhezIAC,2025-03-26,2,1,2,2,2.0
001Vo000013QhezIAC,2026-02-23,2,1,2,2,2.0
001Vo000013QhhlIAC,2024-03-13,8,4,2,2,2.0
001Vo000013QhhlIAC,2024-10-11,18,9,2,2,2.0
001Vo000013QhhlIAC,2024-10-17,2,1,2,2,2.0
001Vo000013QhhlIAC,2025-08-05,2,1,2,2,2.0
001Vo000013QhhlIAC,2025-10-16,2,1,2,2,2.0
001Vo000013QhhlIAC,2026-02-13,2,1,2,2,2.0
001Vo000013QiEPIA0,2023-12-18,2,1,2,2,2.0
001Vo000013QiEPIA0,2024-02-27,2,1,2,2,2.0
001Vo000013QiEPIA0,2024-06-03,2,1,2,2,2.0
