file,year,encoding_used,known_corruption_fixed,parse_error,row_count,col_count,columns,date_format,date_parse_failures,min_date,max_date,missing_Establishment ID,nunique_Establishment ID,missing_Inspection ID,nunique_Inspection ID,missing_Establishment Status,nunique_Establishment Status,missing_Severity,nunique_Severity,missing_Outcome,nunique_Outcome,missing_Action,nunique_Action,missing_Infraction Details,nunique_Infraction Details
Dinesafe Historical data/dinesafe_hist_2001.csv,2001,utf-8,,,6066,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2001-01-03 00:00:00,2001-12-28 00:00:00,0,1625,0,3468,0,2,2095,4,6049,3,2095,6,2095,270
Dinesafe Historical data/dinesafe_hist_2002.csv,2002,utf-8,,,6352,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2002-01-02 00:00:00,2002-12-31 00:00:00,0,1793,0,4390,0,2,2940,4,6309,5,2940,6,2940,113
Dinesafe Historical data/dinesafe_hist_2003.csv,2003,utf-8,,,7160,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2003-01-02 00:00:00,2003-12-30 00:00:00,0,2134,0,4724,0,2,2990,4,7085,5,2990,6,2990,157
Dinesafe Historical data/dinesafe_hist_2004.csv,2004,utf-8,,,7181,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2004-01-02 00:00:00,2004-12-31 00:00:00,0,2361,0,5101,0,2,3479,4,7145,3,3479,7,3479,165
Dinesafe Historical data/dinesafe_hist_2005.csv,2005,utf-8,,,8642,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2005-01-01 00:00:00,2005-12-31 00:00:00,0,2635,0,5929,0,2,3958,4,8607,5,3958,7,3958,176
Dinesafe Historical data/dinesafe_hist_2006.csv,2006,utf-8,,,9096,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2006-01-03 00:00:00,2006-12-30 00:00:00,0,2956,0,6630,0,2,4597,4,9056,4,4597,6,4597,192
Dinesafe Historical data/dinesafe_hist_2007.csv,2007,utf-8,,,10130,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2007-01-02 00:00:00,2007-12-31 00:00:00,0,3242,0,7152,0,2,4746,4,10059,6,4746,6,4746,205
Dinesafe Historical data/dinesafe_hist_2008.csv,2008,utf-8,,,11666,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2008-01-02 00:00:00,2008-12-31 00:00:00,0,3582,0,7702,0,2,4807,4,11570,5,4807,6,4807,234
Dinesafe Historical data/dinesafe_hist_2009.csv,2009,utf-8,,,11393,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2009-01-02 00:00:00,2009-12-31 00:00:00,0,3632,0,7079,0,2,4095,4,11312,6,4095,7,4095,246
Dinesafe Historical data/dinesafe_hist_2010.csv,2010,utf-8,,,14920,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2010-01-04 00:00:00,2010-12-31 00:00:00,0,4381,0,9433,0,2,5497,4,14746,6,5497,7,5497,248
Dinesafe Historical data/dinesafe_hist_2011.csv,2011,utf-8,,,16624,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2011-01-04 00:00:00,2011-12-31 00:00:00,0,4667,0,10265,0,2,5880,4,16445,5,5880,8,5880,253
Dinesafe Historical data/dinesafe_hist_2012.csv,2012,utf-8,,,17188,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2012-01-03 00:00:00,2012-12-31 00:00:00,0,4849,0,10647,0,2,6347,4,16974,5,6347,9,6347,225
Dinesafe Historical data/dinesafe_hist_2013.csv,2013,utf-8,,,20392,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2013-01-02 00:00:00,2013-12-31 00:00:00,0,5714,0,12451,0,2,7221,4,20233,7,7221,9,7221,224
Dinesafe Historical data/dinesafe_hist_2014.csv,2014,utf-8,,,23160,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2014-01-02 00:00:00,2014-12-31 00:00:00,0,6624,0,15100,0,2,9054,4,22948,6,9054,9,9054,208
Dinesafe Historical data/dinesafe_hist_2015.csv,2015,utf-8,,,21750,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2015-01-02 00:00:00,2015-12-31 00:00:00,0,7008,0,14527,0,2,8657,4,21440,6,8657,8,8657,246
Dinesafe Historical data/dinesafe_hist_2016.csv,2016,utf-8,,,24300,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2016-01-04 00:00:00,2016-12-30 00:00:00,0,7764,0,15770,0,2,8865,4,24053,8,8865,8,8865,242
Dinesafe Historical data/dinesafe_hist_2017.csv,2017,utf-8,,,26989,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2017-01-03 00:00:00,2017-12-29 00:00:00,0,8706,0,17258,0,2,9328,4,26761,6,9328,9,9328,217
Dinesafe Historical data/dinesafe_hist_2018.csv,2018,utf-8,,,29026,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2018-01-02 00:00:00,2018-12-31 00:00:00,0,9497,0,18538,0,2,10083,4,28841,8,10083,8,10083,392
Dinesafe Historical data/dinesafe_hist_2019.csv,2019,utf-8,,,34493,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2019-01-02 00:00:00,2019-12-31 00:00:00,0,10961,0,22626,0,2,11937,4,34254,4,11937,8,11937,223
Dinesafe Historical data/dinesafe_hist_2020.csv,2020,utf-8,stripped duplicated leading quote on header line + removed extra trailing quote on final data row,,11714,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2020-01-02 00:00:00,2020-12-31 00:00:00,0,6633,0,8021,0,2,4674,4,11665,5,4674,7,4674,190
Dinesafe Historical data/dinesafe_hist_2021.csv,2021,utf-8,stripped duplicated leading quote on header line + removed extra trailing quote on final data row,,9070,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2021-01-04 00:00:00,2021-12-31 00:00:00,0,5431,0,6469,0,2,3982,4,9027,4,3982,6,3982,173
Dinesafe Historical data/dinesafe_hist_2022.csv,2022,utf-8,stripped duplicated leading quote on header line + removed extra trailing quote on final data row,,30478,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,YYYY-MM-DD,0,2022-01-04 00:00:00,2022-12-30 00:00:00,0,15766,0,20190,0,2,11775,4,30434,4,11775,8,11775,204
Dinesafe Historical data/dinesafe_hist_2023.csv,2023,latin-1,,,37836,16,Rec # | Establishment ID | Inspection ID | Establishment Name | Establishment Type | Establishment Address | Latitude | Longitude | Establishment Status | Min. Inspections Per Year | Infraction Details | Inspection Date | Severity | Action | Outcome | Amount Fined,MM/DD/YYYY,0,2023-01-03 00:00:00,2023-12-29 00:00:00,0,12620,0,24901,0,2,14149,4,37706,4,14149,11,14149,208
