feature,coefficient,abs_coefficient
prev_non_pass,-0.6301931806776899,0.6301931806776899
prev_total_infractions,0.49977150996143355,0.49977150996143355
prior_730d_total_infractions,0.4386512078340867,0.4386512078340867
prior_730d_n_non_pass,0.14942718214656,0.14942718214656
prev_significant,-0.13217998288661995,0.13217998288661995
prev_crucial,-0.12716487180395503,0.12716487180395503
prior_365d_n_non_pass,0.11396938804309827,0.11396938804309827
prev_minor,-0.10351937611843695,0.10351937611843695
n_inspections_seen_so_far,-0.0916901271007304,0.0916901271007304
prior_730d_n_inspections,-0.07418431086882524,0.07418431086882524
prior_365d_total_infractions,0.07061606246386762,0.07061606246386762
prior_730d_crucial_infractions,0.03990032877741947,0.03990032877741947
days_since_previous_inspection,0.03789837392112764,0.03789837392112764
prior_365d_n_inspections,-0.031555863254113525,0.031555863254113525
prior_365d_crucial_infractions,-0.007957710694272266,0.007957710694272266
