feature,coefficient,abs_coefficient
prev_non_pass,-0.5138945916863518,0.5138945916863518
prior_730d_infractions_per_inspection,0.40432258923955633,0.40432258923955633
prior_730d_total_infractions,0.22387176183844462,0.22387176183844462
prior_365d_total_infractions,-0.21103119194935188,0.21103119194935188
prev_total_infractions,0.18274694584421275,0.18274694584421275
prior_365d_infractions_per_inspection,0.15956438948342766,0.15956438948342766
consecutive_passes,-0.1475566408485919,0.1475566408485919
prior_365d_n_non_pass,0.11380504551872102,0.11380504551872102
infraction_change_365_vs_730,0.10990694262021074,0.10990694262021074
prior_365d_n_inspections,0.10970863813847995,0.10970863813847995
prev_crucial,-0.10019917209805984,0.10019917209805984
days_since_previous_non_pass,0.09289076990679347,0.09289076990679347
prior_730d_non_pass_rate,-0.09133495139889536,0.09133495139889536
prev_significant,-0.08714855855718344,0.08714855855718344
prior_365d_non_pass_rate,0.08056931691442236,0.08056931691442236
days_since_previous_inspection,0.07804542569906799,0.07804542569906799
prior_730d_crucial_infractions,0.06177154042715618,0.06177154042715618
prev_minor,-0.045434350933615066,0.045434350933615066
prior_730d_n_non_pass,0.03128526229566499,0.03128526229566499
n_inspections_seen_so_far,0.025140171759575395,0.025140171759575395
prior_365d_crucial_infractions,-0.012511848934089085,0.012511848934089085
prior_730d_n_inspections,0.009614525979898146,0.009614525979898146
