model,configuration,val_pr_auc,val_roc_auc
logistic_regression,C=0.01,0.16249593106194532,0.7293209805003813
logistic_regression,C=0.1,0.16307139988338482,0.7297774331546155
logistic_regression,C=1.0,0.16315724236893614,0.7297854612163733
logistic_regression,C=10.0,0.16315243488785772,0.7297838314594751
logistic_regression,C=100.0,0.16314833111768892,0.729783831459475
catboost,"iterations=300,depth=4,lr=0.05",0.17119999099665015,0.7335191135474568
catboost,"iterations=500,depth=4,lr=0.05",0.16737106965032045,0.7287856959013667
catboost,"iterations=800,depth=4,lr=0.05",0.16146151903708147,0.721097046107875
catboost,"iterations=300,depth=6,lr=0.05",0.16957100504566908,0.7286739670117888
catboost,"iterations=500,depth=6,lr=0.05",0.15708249242408237,0.7165990981528939
catboost,"iterations=800,depth=6,lr=0.05",0.1486450212505801,0.7022949633027036
catboost,"iterations=500,depth=8,lr=0.03",0.15919662972484117,0.7217841999052568
catboost,"iterations=800,depth=8,lr=0.03",0.14667218559400852,0.7007634747093118
